file,fileDate,time_raw,layer,time_dt,mesh,timeRes,date,timeStep,i,timeCalculated
linnhe7_20211101_0001.nc,20211101,1635728384,1,2021-11-01T00:59:44Z,linnhe7,1h,2021-11-01,4.26666666666667,11,2021-11-01T01:00:00Z
linnhe7_20211108_0001.nc,20211108,1635728384,12,2021-11-01T00:59:44Z,linnhe7,1h,2021-11-01,0,12,2021-11-01T01:00:00Z
linnhe7_20211101_0001.nc,20211101,2021-11-01T01:00:00.000000,12,2021-11-01T01:00:00Z,linnhe7,5min,2021-11-01,5,12,2021-11-01T01:00:00Z
westcoms2_20211101_0001.nc,20211101,2021-11-01T01:00:00.000000,12,2021-11-01T01:00:00Z,WeStCOMS2,5min,2021-11-01,5,12,2021-11-01T01:00:00Z
westcoms2_20211101_0006.nc,20211101,2021-11-01T01:00:00.000000,1,2021-11-01T01:00:00Z,WeStCOMS2,1h,2021-11-01,60,1,2021-11-01T01:00:00Z
linnhe7_20211108_0001.nc,20211108,1635728640,13,2021-11-01T01:04:00Z,linnhe7,1h,2021-11-01,4.26666666666667,13,2021-11-01T01:05:00Z
linnhe7_20211101_0001.nc,20211101,2021-11-01T01:05:00.000000,13,2021-11-01T01:05:00Z,linnhe7,5min,2021-11-01,5,13,2021-11-01T01:05:00Z
westcoms2_20211101_0001.nc,20211101,2021-11-01T01:05:00.000000,13,2021-11-01T01:05:00Z,WeStCOMS2,5min,2021-11-01,5,13,2021-11-01T01:05:00Z
linnhe7_20211101_0001.nc,20211101,2021-11-01T01:10:00.000000,14,2021-11-01T01:10:00Z,linnhe7,5min,2021-11-01,5,14,2021-11-01T01:10:00Z
westcoms2_20211101_0001.nc,20211101,2021-11-01T01:10:00.000000,14,2021-11-01T01:10:00Z,WeStCOMS2,5min,2021-11-01,5,14,2021-11-01T01:10:00Z
linnhe7_20211108_0001.nc,20211108,1635729024,14,2021-11-01T01:10:24Z,linnhe7,1h,2021-11-01,6.4,14,2021-11-01T01:10:00Z
linnhe7_20211108_0001.nc,20211108,1635729280,15,2021-11-01T01:14:40Z,linnhe7,1h,2021-11-01,4.26666666666667,15,2021-11-01T01:15:00Z
linnhe7_20211101_0001.nc,20211101,2021-11-01T01:15:00.000000,15,2021-11-01T01:15:00Z,linnhe7,5min,2021-11-01,5,15,2021-11-01T01:15:00Z
westcoms2_20211101_0001.nc,20211101,2021-11-01T01:15:00.000000,15,2021-11-01T01:15:00Z,WeStCOMS2,5min,2021-11-01,5,15,2021-11-01T01:15:00Z
linnhe7_20211101_0001.nc,20211101,2021-11-01T01:20:00.000000,16,2021-11-01T01:20:00Z,linnhe7,5min,2021-11-01,5,16,2021-11-01T01:20:00Z
westcoms2_20211101_0001.nc,20211101,2021-11-01T01:20:00.000000,16,2021-11-01T01:20:00Z,WeStCOMS2,5min,2021-11-01,5,16,2021-11-01T01:20:00Z
linnhe7_20211108_0001.nc,20211108,1635729664,16,2021-11-01T01:21:04Z,linnhe7,1h,2021-11-01,6.4,16,2021-11-01T01:20:00Z
linnhe7_20211101_0001.nc,20211101,2021-11-01T01:25:00.000000,17,2021-11-01T01:25:00Z,linnhe7,5min,2021-11-01,5,17,2021-11-01T01:25:00Z
westcoms2_20211101_0001.nc,20211101,2021-11-01T01:25:00.000000,17,2021-11-01T01:25:00Z,WeStCOMS2,5min,2021-11-01,5,17,2021-11-01T01:25:00Z
linnhe7_20211108_0001.nc,20211108,1635729920,17,2021-11-01T01:25:20Z,linnhe7,1h,2021-11-01,4.26666666666667,17,2021-11-01T01:25:00Z
linnhe7_20211108_0001.nc,20211108,1635730176,18,2021-11-01T01:29:36Z,linnhe7,1h,2021-11-01,4.26666666666667,18,2021-11-01T01:30:00Z
linnhe7_20211101_0001.nc,20211101,2021-11-01T01:30:00.000000,18,2021-11-01T01:30:00Z,linnhe7,5min,2021-11-01,5,18,2021-11-01T01:30:00Z
westcoms2_20211101_0001.nc,20211101,2021-11-01T01:30:00.000000,18,2021-11-01T01:30:00Z,WeStCOMS2,5min,2021-11-01,5,18,2021-11-01T01:30:00Z
linnhe7_20211101_0001.nc,20211101,2021-11-01T01:35:00.000000,19,2021-11-01T01:35:00Z,linnhe7,5min,2021-11-01,5,19,2021-11-01T01:35:00Z
westcoms2_20211101_0001.nc,20211101,2021-11-01T01:35:00.000000,19,2021-11-01T01:35:00Z,WeStCOMS2,5min,2021-11-01,5,19,2021-11-01T01:35:00Z
linnhe7_20211108_0001.nc,20211108,1635730560,19,2021-11-01T01:36:00Z,linnhe7,1h,2021-11-01,6.4,19,2021-11-01T01:35:00Z
linnhe7_20211101_0001.nc,20211101,2021-11-01T01:40:00.000000,20,2021-11-01T01:40:00Z,linnhe7,5min,2021-11-01,5,20,2021-11-01T01:40:00Z
westcoms2_20211101_0001.nc,20211101,2021-11-01T01:40:00.000000,20,2021-11-01T01:40:00Z,WeStCOMS2,5min,2021-11-01,5,20,2021-11-01T01:40:00Z
linnhe7_20211108_0001.nc,20211108,1635730816,20,2021-11-01T01:40:16Z,linnhe7,1h,2021-11-01,4.26666666666667,20,2021-11-01T01:40:00Z
linnhe7_20211108_0001.nc,20211108,1635731072,21,2021-11-01T01:44:32Z,linnhe7,1h,2021-11-01,4.26666666666667,21,2021-11-01T01:45:00Z
linnhe7_20211101_0001.nc,20211101,2021-11-01T01:45:00.000000,21,2021-11-01T01:45:00Z,linnhe7,5min,2021-11-01,5,21,2021-11-01T01:45:00Z
westcoms2_20211101_0001.nc,20211101,2021-11-01T01:45:00.000000,21,2021-11-01T01:45:00Z,WeStCOMS2,5min,2021-11-01,5,21,2021-11-01T01:45:00Z
linnhe7_20211101_0001.nc,20211101,2021-11-01T01:50:00.000000,22,2021-11-01T01:50:00Z,linnhe7,5min,2021-11-01,5,22,2021-11-01T01:50:00Z
westcoms2_20211101_0001.nc,20211101,2021-11-01T01:50:00.000000,22,2021-11-01T01:50:00Z,WeStCOMS2,5min,2021-11-01,5,22,2021-11-01T01:50:00Z
linnhe7_20211108_0001.nc,20211108,1635731456,22,2021-11-01T01:50:56Z,linnhe7,1h,2021-11-01,6.4,22,2021-11-01T01:50:00Z
linnhe7_20211101_0001.nc,20211101,2021-11-01T01:55:00.000000,23,2021-11-01T01:55:00Z,linnhe7,5min,2021-11-01,5,23,2021-11-01T01:55:00Z
westcoms2_20211101_0001.nc,20211101,2021-11-01T01:55:00.000000,23,2021-11-01T01:55:00Z,WeStCOMS2,5min,2021-11-01,5,23,2021-11-01T01:55:00Z
linnhe7_20211108_0001.nc,20211108,1635731712,23,2021-11-01T01:55:12Z,linnhe7,1h,2021-11-01,4.26666666666667,23,2021-11-01T01:55:00Z
linnhe7_20211101_0001.nc,20211101,1635731968,2,2021-11-01T01:59:28Z,linnhe7,1h,2021-11-01,4.26666666666667,24,2021-11-01T02:00:00Z
linnhe7_20211102_0002.nc,20211102,2021-11-01T02:00:00.000000,0,2021-11-01T02:00:00Z,linnhe7,5min,2021-11-01,5,24,2021-11-01T02:00:00Z
westcoms2_20211102_0002.nc,20211102,2021-11-01T02:00:00.000000,0,2021-11-01T02:00:00Z,WeStCOMS2,5min,2021-11-01,5,24,2021-11-01T02:00:00Z
