i,area,depth,trinode_1,trinode_2,trinode_3,lochRegion
"92974",15586.3256835938,12.900426864624,"52622","52100","52101","7"
"92975",15974.4594726563,18.8505229949951,"52622","52101","52623","7"
"92976",15251.1533203125,24.1986789703369,"52623","52101","52102","7"
"92977",16523.9721679688,26.7718868255615,"52624","52623","52102","7"
"92978",17097.158203125,27.8092937469482,"52624","52102","52103","7"
"92979",16765.4790039063,27.1853065490723,"52624","52103","52104","7"
"92980",18963.236328125,25.4129657745361,"52624","52104","52625","7"
"92981",21200.111328125,22.865966796875,"52104","52626","52625","7"
"92982",27916.27734375,21.1382122039795,"52105","52626","52104","7"
"92983",38180.5341796875,18.2814025878906,"52105","52106","52626","7"
"92984",30627.9306640625,17.7088680267334,"52106","52627","52626","7"
"92985",35711.6240234375,15.0271053314209,"52628","52627","52106","7"
"92986",24272.2978515625,13.8351602554321,"52628","52106","52107","7"
"92987",42484.7827148438,11.4337339401245,"52107","52629","52628","7"
"92988",38179.3842773438,10.3088855743408,"52629","52107","52108","7"
"92989",11692.0522460938,20.5787582397461,"52109","52110","52630","7"
"92990",13683.4526367188,18.8476810455322,"52630","52110","52631","7"
"92991",14954.8168945313,17.949951171875,"52110","52632","52631","7"
"92992",14018.6704101563,21.7560062408447,"52111","52632","52110","7"
"92993",10020.7749023438,23.4446506500244,"52111","52633","52632","7"
"92994",11255.296875,29.6353759765625,"52634","52633","52111","7"
"92995",12029.5161132813,36.027774810791,"52111","52112","52634","7"
"92996",15376.7578125,39.9343490600586,"52112","52113","52634","7"
"92997",14037.3779296875,34.7524108886719,"52634","52113","52635","7"
"92998",15306.3603515625,32.8885345458984,"52636","52635","52113","7"
"92999",14134.2333984375,31.999547958374,"52636","52113","52637","7"
"93000",11099.61328125,33.8699607849121,"52113","52114","52637","7"
"93001",15196.4682617188,36.1011543273926,"52115","52637","52114","7"
"93002",13039.0869140625,38.2722091674805,"52115","52638","52637","7"
"93003",13716.4096679688,50.6764526367188,"52115","52116","52638","7"
"93004",12255.3681640625,56.3773078918457,"52638","52116","52639","7"
"93005",13399.3793945313,66.7140731811523,"52117","52639","52116","7"
"93006",10769.8334960938,69.1797409057617,"52117","52640","52639","7"
"93007",11473.6020507813,75.0389785766602,"52117","52118","52640","7"
"93008",10607.328125,71.6443023681641,"52118","52641","52640","7"
"93009",11974.1469726563,73.5174331665039,"52642","52641","52118","7"
"93010",15842.0083007813,83.6689147949219,"52642","52118","52119","7"
"93011",20827.7084960938,89.9359970092773,"52642","52119","52643","7"
"93012",23482.0302734375,96.6529693603516,"52643","52119","52120","7"
"93013",31497.736328125,99.957405090332,"52121","52643","52120","7"
"93014",28468.310546875,98.3686141967773,"52121","52644","52643","7"
"93015",29150.8686523438,100.934539794922,"52121","52645","52644","7"
"93016",37703.0200195313,104.490898132324,"52121","52646","52645","7"
"93017",58804.86328125,102.477821350098,"52121","52122","52646","7"
"93018",73573.845703125,102.672256469727,"52646","52122","52647","7"
"93019",79814.296875,100.409477233887,"52123","52647","52122","7"
"93020",80489.365234375,98.5336380004883,"52648","52647","52123","7"
"93021",86278.1704101563,93.7067489624023,"52649","52648","52123","7"
"93022",83435.4907226563,90.9144821166992,"52649","52123","52124","7"
"93023",89638.4311523438,85.6151351928711,"52649","52124","52650","7"
"93024",88645.9028320313,82.829948425293,"52125","52650","52124","7"
"93025",88861.3862304688,77.1846008300781,"52125","52651","52650","7"
"93026",86361.3715820313,76.2407684326172,"52125","52126","52651","7"
"93027",90562.1826171875,72.8523483276367,"52126","52652","52651","7"
"93028",99552.5634765625,70.0577850341797,"52127","52652","52126","7"
"93029",102390.2890625,48.5188331604004,"52652","52127","52653","7"
"93030",94448.1118164063,29.1732349395752,"52654","52653","52127","7"
"93031",78951.171875,34.0861511230469,"52128","52654","52127","7"
"93032",5839.18798828125,42.0204887390137,"52136","52655","52135","7"
"93033",5473.701171875,37.0529441833496,"52656","52655","52136","7"
"93034",5707.4462890625,36.9055366516113,"52656","52136","52137","7"
"93821",4010.12451171875,8.72135162353516,"53110","53111","52593","7"
"93822",5217.45947265625,11.0892124176025,"53110","52593","52594","7"
"93823",5946.2080078125,13.5266027450562,"53110","52594","53112","7"
"93824",5947.697265625,12.0778570175171,"53112","52594","52595","7"
"93825",4784.7109375,10.070107460022,"53113","53112","52595","7"
"93826",3354.27392578125,7.11001443862915,"53114","52597","52596","7"
"93827",3922.3447265625,6.42574977874756,"53115","53114","52596","7"
"93828",3178.5849609375,5.77272176742554,"53115","52596","52599","7"
"93829",3429.87109375,6.46725177764893,"52598","52599","52596","7"
"93830",3721.66748046875,7.08886575698853,"53116","52597","53114","7"
"93831",3007.3984375,4.86523866653442,"53115","52599","52600","7"
"93832",3074.7177734375,4.78812503814697,"52600","53117","53115","7"
"93833",4250.8759765625,4.79411792755127,"53118","53117","52600","7"
"93834",6333.6708984375,4.704017162323,"53118","52600","52601","7"
"93835",10598.900390625,4.77181100845337,"53118","52601","53119","7"
"93836",10650.0224609375,4.54858446121216,"52602","53119","52601","7"
"93837",10618.4038085938,4.65960693359375,"53120","53119","52602","7"
"93838",13442.5200195313,4.79103708267212,"53120","52602","52603","7"
"93839",12516.236328125,4.84077215194702,"53120","52603","53121","7"
"93840",12512.21875,4.74338722229004,"52603","52604","53121","7"
"93841",12513.0966796875,4.58584594726563,"53122","53121","52604","7"
"93842",13513.8046875,8.48237895965576,"53122","52604","53123","7"
"93843",13510.57421875,8.59755706787109,"52605","53123","52604","7"
"93844",13563.3022460938,14.0563955307007,"53124","53123","52605","7"
"93845",11205.02734375,16.5075035095215,"53124","52605","52606","7"
"93846",12744.1293945313,26.6317405700684,"53124","52606","52607","7"
"93847",13691.35546875,30.8450717926025,"53124","52607","53125","7"
"93848",13688.361328125,36.7729263305664,"52608","53125","52607","7"
"93849",13746.96484375,36.5722541809082,"53126","53125","52608","7"
